rua                               
R._Edésio_Silva              count    20.000000
                             mean      5.080195
                             std       0.934831
                             min       3.337569
                             25%       4.396538
                             50%       5.031191
                             75%       5.818648
                             max       6.626981
R._Inácio_Marquês_da_Silva   count    20.000000
                             mean      5.210459
                             std       0.902424
                             min       3.931499
                             25%       4.387705
                             50%       5.353258
                             75%       5.800670
                             max       6.788134
R._Maciel_Pinheiro           count    20.000000
                             mean      5.118606
                             std       0.661849
                             min       3.570968
                             25%       4.832935
                             50%       5.154170
                             75%       5.384274
                             max       6.274417
R._Manoel_Pereira_de_Araújo  count    20.000000
                             mean      3.406119
                             std       0.392180
                             min       2.430605
                             25%       3.174365
                             50%       3.467663
                             75%       3.635963
                             max       4.090968
dtype: float64
                                    count      mean       std       min  \
rua                         numero                                        
R._Edésio_Silva             1136        4  4.408774  0.312523  4.090785   
                            1546        4  5.814258  0.340229  5.392336   
                            306         4  5.509479  0.611048  4.957188   
                            602         4  4.918967  1.183837  3.337569   
                            70          4  4.749495  1.341923  3.459454   
R._Inácio_Marquês_da_Silva  120         4  5.824043  1.142639  4.399963   
                            239         4  5.963948  0.313089  5.665880   
                            360         4  4.982353  0.677841  4.296678   
                            500         4  4.232576  0.236047  3.931499   
                            54          4  5.049375  0.775165  4.350932   
R._Maciel_Pinheiro          130         4  5.097402  0.524548  4.633242   
                            190         4  5.427872  0.830716  4.471002   
                            248         4  4.942481  0.540822  4.132171   
                            284         4  5.169547  0.521797  4.521784   
                            360         4  4.955728  1.017822  3.570968   
R._Manoel_Pereira_de_Araújo 188         4  3.547238  0.202012  3.263296   
                            222         4  3.234445  0.608392  2.430605   
                            300         4  3.430233  0.503212  2.968652   
                            370         4  3.430127  0.449582  2.874400   
                            392         4  3.388549  0.200000  3.162354   

                                         25%       50%       75%       max  
rua                         numero                                          
R._Edésio_Silva             1136    4.240144  4.357097  4.525728  4.830118  
                            1546    5.711388  5.819558  5.922427  6.225581  
                            306     5.068192  5.390696  5.831983  6.299336  
                            602     4.394101  5.141066  5.665931  6.056166  
                            70      4.099883  4.455772  5.105383  6.626981  
R._Inácio_Marquês_da_Silva  120     5.150544  6.054037  6.727535  6.788134  
                            239     5.741283  5.915427  6.138092  6.359060  
                            360     4.491175  4.930893  5.422071  5.770948  
                            500     4.118977  4.256538  4.370137  4.485732  
                            54      4.411277  4.978365  5.616464  5.889837  
R._Maciel_Pinheiro          130     4.832935  4.954300  5.218767  5.847765  
                            190     4.881482  5.483034  6.029424  6.274417  
                            248     4.920219  5.195971  5.218232  5.245809  
                            284     5.012798  5.178367  5.335117  5.799671  
                            360     4.715444  5.114404  5.354687  6.023135  
R._Manoel_Pereira_de_Araújo 188     3.509456  3.592004  3.629785  3.741649  
                            222     2.991428  3.314505  3.557522  3.878167  
                            300     3.080874  3.330657  3.680016  4.090968  
                            370     3.170264  3.486152  3.746015  3.873807  
                            392     3.260847  3.389181  3.516883  3.613478  
